dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,3834500.0,3995000,5,-84.2963,34.084553,FOR_SALE,14688105,16223.0,20,7.0,4511,USA,USD,acres,true,329 Canton St,Alpharetta,GA,30009,3995000.0,2024-03-13
,0.0,0.0,762000.0,739000,4,-84.2555,34.15814,FOR_SALE,60947616,4372.0,1,3.0,4296,USA,USD,acres,true,3795 Hamby Oaks Dr,Alpharetta,GA,30004,739000.0,2024-03-13
,0.0,0.0,1167300.0,1150000,5,-84.26811,34.0431,FOR_SALE,55015239,5558.0,6,5.0,4981,USA,USD,acres,true,1725 Ridge Oak Pl,Alpharetta,GA,30022,1150000.0,2024-03-13
,8581.32,0.0,867900.0,849000,3,-84.20902,34.087116,FOR_SALE,14681374,3628.0,1,3.0,3358,USA,USD,sqft,true,2810 Gleneagles Pointe,Alpharetta,GA,30005,849000.0,2024-03-13
,4791.6,0.0,571600.0,565000,4,-84.290054,34.08945,FOR_SALE,35945882,2600.0,1,3.0,2120,USA,USD,sqft,true,2305 Winthrope Way Dr,Alpharetta,GA,30009,565000.0,2024-03-13
,0.0,0.0,769000.0,775000,4,-84.28694,34.08706,FOR_SALE,14688634,2728.0,1,3.0,1753,USA,USD,acres,true,110 John Christopher Dr,Alpharetta,GA,30009,775000.0,2024-03-13
,0.0,0.0,1008600.0,999000,5,-84.225426,34.06634,FOR_SALE,249120183,5693.0,1,4.0,4211,USA,USD,acres,true,8060 Preservation Dr,Alpharetta,GA,30005,999000.0,2024-03-13
,0.0,-20000.0,639100.0,670000,4,-84.33541,34.0746,FOR_SALE,14685850,3317.0,131,3.0,2866,USA,USD,acres,true,120 North Blf,Alpharetta,GA,30004,650000.0,2024-03-13
,0.0,0.0,812400.0,849000,5,-84.21086,34.07583,FOR_SALE,14681610,4969.0,126,5.0,4711,USA,USD,acres,true,4265 Courageous Wake,Alpharetta,GA,30005,849000.0,2024-03-13
,4791.6,-14900.0,677700.0,675000,4,-84.23003,34.1037,FOR_SALE,118495557,2949.0,20,4.0,0,USA,USD,sqft,true,6865 Counselors Way,Alpharetta,GA,30005,660100.0,2024-03-13
,0.0,0.0,0.0,3599999,7,-84.30157,34.08499,FOR_SALE,344142204,0.0,1,9.0,7764,USA,USD,,true,230 Shady Grv,Alpharetta,GA,30009,3599999.0,2024-03-13
,0.0,0.0,917300.0,899900,5,-84.23498,34.151688,FOR_SALE,248581398,3357.0,1,4.0,3724,USA,USD,acres,true,635 Bellhaven Point,Alpharetta,GA,30004,899900.0,2024-03-13
,0.0,-25000.0,864500.0,850000,5,-84.25242,34.035778,FOR_SALE,14648882,5360.0,13,6.0,0,USA,USD,acres,true,10430 Centennial Dr,Alpharetta,GA,30022,825000.0,2024-03-13
,0.0,-170000.0,2228300.0,2325000,5,-84.3067,34.078945,FOR_SALE,2058468562,12451.0,1,5.0,4300,USA,USD,acres,true,131 Mayfield Cir,Alpharetta,GA,30009,2155000.0,2024-03-13
,0.0,0.0,1860900.0,1825000,6,-84.21706,34.089153,FOR_SALE,35944101,9616.0,0,6.0,6602,USA,USD,acres,true,6010 Greatwood Ter,Alpharetta,GA,30005,1825000.0,2024-03-13
,0.0,0.0,905600.0,899000,3,-84.2846,34.081577,FOR_SALE,14689155,2400.0,1,2.0,1700,USA,USD,acres,true,101 Jayne Ellen Way,Alpharetta,GA,30009,899000.0,2024-03-13
,0.0,0.0,989800.0,1025000,5,-84.256874,34.053925,FOR_SALE,55007942,5904.0,29,5.0,5047,USA,USD,acres,true,240 Boxgrove Rd,Alpharetta,GA,30022,1025000.0,2024-03-13
,9944.748,0.0,533800.0,546000,4,-84.235634,34.05042,FOR_SALE,14651615,2525.0,41,3.0,1805,USA,USD,sqft,true,4205 Pine Vista Blvd,Alpharetta,GA,30022,546000.0,2024-03-13
,0.0,-15000.0,659400.0,675000,4,-84.30367,34.0986,FOR_SALE,14687086,3794.0,34,3.0,2552,USA,USD,acres,true,4195 Providence Sq,Alpharetta,GA,30009,660000.0,2024-03-13
,0.0,0.0,729200.0,737000,3,-84.348656,34.085224,FOR_SALE,14684672,3200.0,14,3.0,2765,USA,USD,acres,true,410 Singletree Trce,Alpharetta,GA,30004,737000.0,2024-03-13
,0.0,-25100.0,633100.0,649900,4,-84.24646,34.04535,FOR_SALE,14650347,3499.0,55,4.0,2652,USA,USD,acres,true,10830 Grenadier Ln,Alpharetta,GA,30022,624800.0,2024-03-13
