dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,855000.0,650000,3,-121.803215,37.307354,FOR_SALE,19806279,3362.0,1,2.0,1131,USA,USD,,true,1960 Postgate Ct,San Jose,CA,95121,650000.0,2024-03-13
,0.0,-168000.0,1039800.0,1000000,3,-121.8653,37.38144,FOR_SALE,124744332,3800.0,1,4.0,1587,USA,USD,,true,1132 Mallow Ter,San Jose,CA,95133,832000.0,2024-03-13
,871.0,0.0,1265100.0,1199000,3,-121.960365,37.41508,FOR_SALE,19489946,3927.0,1,3.0,1405,USA,USD,sqft,true,4242 Cosenza Loop,San Jose,CA,95134,1199000.0,2024-03-13
,0.0,0.0,1286200.0,1198950,3,-121.89364,37.386017,FOR_SALE,19563632,3881.0,1,3.0,1790,USA,USD,,true,1230 Oregold Pl,San Jose,CA,95131,1198950.0,2024-03-13
,0.0,0.0,955600.0,799000,2,-121.77649,37.29896,FOR_SALE,19808102,2888.0,1,2.0,936,USA,USD,,true,2625 Yerba Vista Ct,San Jose,CA,95121,799000.0,2024-03-13
,860.0,0.0,1146300.0,1100000,2,-121.91009,37.330704,FOR_SALE,59683023,3849.0,1,3.0,1678,USA,USD,sqft,true,17 S Keeble Ave,San Jose,CA,95126,1100000.0,2024-03-13
,0.0,0.0,855000.0,650000,3,-121.803215,37.307354,FOR_SALE,19806279,3362.0,1,2.0,1131,USA,USD,,true,1960 Postgate Ct,San Jose,CA,95121,650000.0,2024-03-13
,0.0,-168000.0,1039800.0,1000000,3,-121.8653,37.38144,FOR_SALE,124744332,3800.0,1,4.0,1587,USA,USD,,true,1132 Mallow Ter,San Jose,CA,95133,832000.0,2024-03-13
,871.0,0.0,1265100.0,1199000,3,-121.960365,37.41508,FOR_SALE,19489946,3927.0,1,3.0,1405,USA,USD,sqft,true,4242 Cosenza Loop,San Jose,CA,95134,1199000.0,2024-03-13
,0.0,0.0,1286200.0,1198950,3,-121.89364,37.386017,FOR_SALE,19563632,3881.0,1,3.0,1790,USA,USD,,true,1230 Oregold Pl,San Jose,CA,95131,1198950.0,2024-03-13
,0.0,0.0,955600.0,799000,2,-121.77649,37.29896,FOR_SALE,19808102,2888.0,1,2.0,936,USA,USD,,true,2625 Yerba Vista Ct,San Jose,CA,95121,799000.0,2024-03-13
,860.0,0.0,1146300.0,1100000,2,-121.91009,37.330704,FOR_SALE,59683023,3849.0,1,3.0,1678,USA,USD,sqft,true,17 S Keeble Ave,San Jose,CA,95126,1100000.0,2024-03-13
,0.0,0.0,855000.0,650000,3,-121.803215,37.307354,FOR_SALE,19806279,3362.0,1,2.0,1131,USA,USD,,true,1960 Postgate Ct,San Jose,CA,95121,650000.0,2024-03-13
,0.0,-168000.0,1039800.0,1000000,3,-121.8653,37.38144,FOR_SALE,124744332,3800.0,1,4.0,1587,USA,USD,,true,1132 Mallow Ter,San Jose,CA,95133,832000.0,2024-03-13
,871.0,0.0,1265100.0,1199000,3,-121.960365,37.41508,FOR_SALE,19489946,3927.0,1,3.0,1405,USA,USD,sqft,true,4242 Cosenza Loop,San Jose,CA,95134,1199000.0,2024-03-13
,0.0,0.0,1286200.0,1198950,3,-121.89364,37.386017,FOR_SALE,19563632,3881.0,1,3.0,1790,USA,USD,,true,1230 Oregold Pl,San Jose,CA,95131,1198950.0,2024-03-13
,0.0,0.0,955600.0,799000,2,-121.77649,37.29896,FOR_SALE,19808102,2888.0,1,2.0,936,USA,USD,,true,2625 Yerba Vista Ct,San Jose,CA,95121,799000.0,2024-03-13
,860.0,0.0,1146300.0,1100000,2,-121.91009,37.330704,FOR_SALE,59683023,3849.0,1,3.0,1678,USA,USD,sqft,true,17 S Keeble Ave,San Jose,CA,95126,1100000.0,2024-03-13
